video_title,video_id,comment_id,comment_date,updated_date,commenter_url,commenter_name,like_count,top_level_comment_num,top_level_comment,comment_reply
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12ks5wxkxbdexe2y22itv1jzyi0hnfu2,2016-10-24T18:12:53.000Z,2016-10-24T18:12:53.000Z,http://www.youtube.com/channel/UCNT3x5U9J66-IUaqDRp39QA,Kelpo,102,1,"Let's play Russian roulette 






every 2th like dies﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12ks5wxkxbdexe2y22itv1jzyi0hnfu2.1480376854539653,2016-11-28T23:47:34.000Z,2016-11-28T23:47:34.000Z,http://www.youtube.com/channel/UCXxxwt3grNrmhcmrZGbxvlg,Regina Parker,0, - , - ,please get off the internet.
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12ks5wxkxbdexe2y22itv1jzyi0hnfu2.1479938898652504,2016-11-23T22:08:18.000Z,2016-11-23T22:08:18.000Z,http://www.youtube.com/channel/UC9A84EGxxW0fxcFFU4EnILQ,Some Edgy Account,0, - , - ,Kelpo HELL YEAH (94)
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12ks5wxkxbdexe2y22itv1jzyi0hnfu2.1478930864126516,2016-11-12T06:07:44.000Z,2016-11-12T06:07:44.000Z,http://www.youtube.com/channel/UC8rdDGrvw9FNUqGJ0SSs4nQ,abigail williamson,0, - , - ,Random Name69420 dead
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12ks5wxkxbdexe2y22itv1jzyi0hnfu2.1478798872851359,2016-11-10T17:27:52.000Z,2016-11-10T17:27:52.000Z,http://www.youtube.com/channel/UCQw_OEOTUQRH0P0JggILQKw,Selene Da Queen,0, - , - ,SAFE
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12mvxuqamitetr2j23dxz1xslnshxkhb04,2016-11-09T03:13:33.000Z,2016-11-09T03:13:33.000Z,http://www.youtube.com/channel/UCiTJD7CeD6-hQW1nnWuRYkw,mica bean,18,2,Stop asking him about the stupid bus﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12mvxuqamitetr2j23dxz1xslnshxkhb04.1478822248730413,2016-11-10T23:57:28.000Z,2016-11-10T23:57:28.000Z,http://www.youtube.com/channel/UCnXQuoucqxhgQ8PoOEF9-jg,Sema Kalkan,1, - , - ,"This movie is nooоw available to watch here => 
https://twitter.com/39f22a633801925c7/status/791862266295562240 The Second 
Prеsidential Debаte Hillary Clintoon Аnd Donald Тrump Full Debate NBC News"
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12mvxuqamitetr2j23dxz1xslnshxkhb04.1478712938225247,2016-11-09T17:35:38.000Z,2016-11-09T17:35:38.000Z,http://www.youtube.com/channel/UCnWslEJyXmxY-GwM2DFn8xA,Lukas Hell,1, - , - ,mica bean thats right man!! making me angry
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12oebpqrx2yz1rye04cdrihemu4yn34gzc0k,2016-10-24T23:56:54.000Z,2016-10-24T23:56:54.000Z,http://www.youtube.com/channel/UCFNmH8vEBW9if-VKRfdzlnw,Walt Yisrael,249,3,I can't stand that wicked fake smiling bitch Hillary Clinton.﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12oebpqrx2yz1rye04cdrihemu4yn34gzc0k.1479233121291950,2016-11-15T18:05:21.000Z,2016-11-15T18:05:21.000Z,http://www.youtube.com/channel/UClCEa5bXrk7RxWcjgzJTh0Q,Aηακιη “Ɗαятн” Μεmεωαlκεя,0, - , - ,"+xxyodiexx Yeah, yeah, fair enough bruh"
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12oebpqrx2yz1rye04cdrihemu4yn34gzc0k.1479233062783764,2016-11-15T18:04:22.000Z,2016-11-15T18:04:22.000Z,http://www.youtube.com/channel/UCbShAFA77PmRmMjFxMVeBtQ,xxyodiexx,0, - , - ,"Aηακιη Μεmεωαlκεя You spelled ""he"" and #VoteTrump2016 wrong."
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12oebpqrx2yz1rye04cdrihemu4yn34gzc0k.1478739606510025,2016-11-10T01:00:06.000Z,2016-11-10T01:00:06.000Z,http://www.youtube.com/channel/UCFNmH8vEBW9if-VKRfdzlnw,Walt Yisrael,2, - , - ,"+Aηακιη Μεmεωαlκεя Yeah, I 
wish I wasn't in America though, Trump is bad but Hillary in my opinion and 
clearly most of America is worse. "
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12oebpqrx2yz1rye04cdrihemu4yn34gzc0k.1478692750070485,2016-11-09T11:59:10.000Z,2016-11-09T11:59:10.000Z,http://www.youtube.com/channel/UClCEa5bXrk7RxWcjgzJTh0Q,Aηακιη “Ɗαятн” Μεmεωαlκεя,0, - , - ,"+Walt Yisrael Nah, I'm Irish

Good luck handling trump, it's what y'all asked for... If this was 
happening in my country I'd commit suicide."
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ehb2yat3qtjnsw230vjcysym5jvftt,2016-11-14T02:45:09.000Z,2016-11-14T20:23:06.000Z,http://www.youtube.com/channel/UCN4KPKDh9NMraXACslEmNhA,Karen Loeffler,23,4,"Well well well, that smirk that was on her face thru this debate was 
removed by the American people. She has been knocked off her throne, never 
to regain her seat again! Way to go America! Way to go.....﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ehb2yat3qtjnsw230vjcysym5jvftt.1479969978955564,2016-11-24T06:46:18.000Z,2016-11-24T06:46:18.000Z,http://www.youtube.com/channel/UCwP94sSd9d0FcX4DEvWEq3g,Gene Celiberti,2, - , - ,"Karen Loeffler Amen my Friend ...its not my call to interfere with your 
political system but wow GOD BLESS YOUR MESIAH President DONAL TRUMP i 
cannot recall when i have ever heard such Blatant honesty from any World 
leader EVER.RRRRRR and ive been here 52 years"
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ehb2yat3qtjnsw230vjcysym5jvftt.1479395756950144,2016-11-17T15:15:56.000Z,2016-11-17T15:15:56.000Z,http://www.youtube.com/channel/UCN4KPKDh9NMraXACslEmNhA,Karen Loeffler,1, - , - ,hahahahahahahahahahhahahahahha. Good By Clintons....Good by
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ehb2yat3qtjnsw230vjcysym5jvftt.1479353319189978,2016-11-17T03:28:39.000Z,2016-11-17T03:28:39.000Z,http://www.youtube.com/channel/UCo0A7GPimwSgrPnZWtp7mJg,years ofrefusal,0, - , - ,she won the popular vote you ignorant asshole
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ehb2yat3qtjnsw230vjcysym5jvftt.1479176899348242,2016-11-15T02:28:19.000Z,2016-11-15T02:28:19.000Z,http://www.youtube.com/channel/UCKZufWECZI4vZJk7pCotbTw,rhonda simmons,2, - , - ,"Funny i just stoped on here to say the same thing, well said, bye bye 
killery. lol"
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ehb2yat3qtjnsw230vjcysym5jvftt.1479148837155169,2016-11-14T18:40:37.000Z,2016-11-14T18:40:37.000Z,http://www.youtube.com/channel/UC-0vhkcJVz2fmdYSF3jyp2Q,Anna Watson,1, - , - ,Through* throne*
